fecha,valor
2021-04-05,844.66
2021-04-06,847.88
2021-04-07,852.22
2021-04-08,848.13
2021-04-09,843.87
2021-04-12,846.6
2021-04-13,844.76
2021-04-14,846.63
2021-04-15,847.01
2021-04-16,840.59
2021-04-19,840.08
2021-04-20,843.62
2021-04-21,838.47
2021-04-22,838.0
2021-04-23,846.53
2021-04-26,861.39
2021-04-27,854.75
2021-04-28,848.47
2021-04-29,847.33
2021-04-30,854.34
2021-05-03,855.15
2021-05-04,852.18
2021-05-05,847.76
2021-05-06,843.64
2021-05-07,845.51
2021-05-10,844.44
2021-05-11,842.63
2021-05-12,850.6
2021-05-13,854.3
2021-05-14,855.54
2021-05-17,853.67
2021-05-18,870.05
2021-05-19,872.62
2021-05-20,871.59
2021-05-24,875.27
2021-05-25,887.89
2021-05-26,900.21
2021-05-27,893.14
2021-05-28,891.2
2021-05-31,884.16
2021-06-01,882.99
2021-06-02,882.49
2021-06-03,879.66
2021-06-04,872.75
2021-06-07,872.2
2021-06-08,873.35
2021-06-09,874.32
2021-06-10,875.74
2021-06-11,877.49
2021-06-14,871.48
2021-06-15,871.51
2021-06-16,879.24
2021-06-17,874.6
2021-06-18,876.76
2021-06-22,885.77
2021-06-23,895.05
2021-06-24,877.03
2021-06-25,872.23
2021-06-29,873.39
2021-06-30,875.23
2021-07-01,862.27
2021-07-02,873.85
2021-07-05,872.47
2021-07-06,871.9
2021-07-07,878.86
2021-07-08,887.29
2021-07-09,892.02
2021-07-12,889.09
2021-07-13,882.26
2021-07-14,879.96
2021-07-15,884.91
2021-07-19,890.19
2021-07-20,896.41
2021-07-21,894.34
2021-07-22,890.98
2021-07-23,883.83
2021-07-26,892.7
2021-07-27,902.26
2021-07-28,900.2
2021-07-29,906.11
2021-07-30,901.83
2021-08-02,901.24
2021-08-03,904.05
2021-08-04,918.79
2021-08-05,918.02
2021-08-06,919.38
2021-08-09,922.62
2021-08-10,924.94
2021-08-11,914.51
2021-08-12,907.71
2021-08-13,906.7
2021-08-16,913.35
2021-08-17,923.54
2021-08-18,924.83
2021-08-19,923.46
2021-08-20,922.44
2021-08-23,919.69
2021-08-24,920.01
2021-08-25,919.23
2021-08-26,921.75
2021-08-27,922.62
2021-08-30,925.21
2021-08-31,920.21
2021-09-01,915.48
2021-09-02,908.67
2021-09-03,912.11
2021-09-06,911.45
2021-09-07,914.23
2021-09-08,921.4
2021-09-09,931.19
2021-09-10,936.2
2021-09-13,933.15
2021-09-14,925.82
2021-09-15,925.94
2021-09-16,923.19
2021-09-20,917.69
2021-09-21,924.18
2021-09-22,920.51
2021-09-23,920.64
2021-09-24,924.64
2021-09-27,924.51
2021-09-28,930.93
2021-09-29,932.98
2021-09-30,932.24
2021-10-01,939.48
2021-10-04,932.38
2021-10-05,936.32
2021-10-06,940.62
2021-10-07,942.59
2021-10-08,940.82
2021-10-12,948.29
2021-10-13,953.74
2021-10-14,950.39
2021-10-15,946.59
2021-10-18,958.12
2021-10-19,952.72
2021-10-20,946.83
2021-10-21,945.64
2021-10-22,951.48
2021-10-25,949.4
2021-10-26,940.73
2021-10-27,935.02
2021-10-28,933.84
2021-10-29,940.97
2021-11-02,937.03
2021-11-03,943.05
2021-11-04,944.33
2021-11-05,941.78
2021-11-08,939.19
2021-11-09,934.87
2021-11-10,924.53
2021-11-11,911.27
2021-11-12,906.73
2021-11-15,913.02
2021-11-16,913.39
2021-11-17,912.66
2021-11-18,927.52
2021-11-19,949.13
2021-11-22,942.31
2021-11-23,909.56
2021-11-24,912.2
2021-11-25,908.45
2021-11-26,918.41
2021-11-29,937.57
2021-11-30,942.69
2021-12-01,946.38
2021-12-02,937.69
2021-12-03,946.47
2021-12-06,947.29
2021-12-07,950.06
2021-12-09,944.14
2021-12-10,949.89
2021-12-13,961.02
2021-12-14,953.46
2021-12-15,954.15
2021-12-16,955.76
2021-12-17,961.25
2021-12-20,954.18
2021-12-21,973.73
2021-12-22,978.99
2021-12-23,981.25
2021-12-24,971.26
2021-12-27,976.24
2021-12-28,972.36
2021-12-29,968.81
2021-12-30,964.44
2022-01-03,955.64
2022-01-04,960.44
2022-01-05,961.88
2022-01-06,954.45
2022-01-07,948.53
2022-01-10,944.34
2022-01-11,942.08
2022-01-12,945.6
2022-01-13,945.34
2022-01-14,942.08
2022-01-17,930.07
2022-01-18,938.03
2022-01-19,929.54
2022-01-20,923.02
2022-01-21,912.46
2022-01-24,906.88
2022-01-25,906.05
2022-01-26,909.57
2022-01-27,901.65
2022-01-28,890.81
2022-01-31,903.85
2022-02-01,901.51
2022-02-02,901.19
2022-02-03,911.3
2022-02-04,934.47
2022-02-07,946.01
2022-02-08,944.42
2022-02-09,941.66
2022-02-10,938.69
2022-02-11,922.46
2022-02-14,919.0
2022-02-15,918.41
2022-02-16,912.59
2022-02-17,909.72
2022-02-18,908.04
2022-02-21,898.49
2022-02-22,907.43
2022-02-23,902.27
2022-02-24,890.63
2022-02-25,902.07
2022-02-28,905.69
2022-03-01,894.23
2022-03-02,892.13
2022-03-03,894.53
2022-03-04,884.56
2022-03-07,881.17
2022-03-08,879.39
2022-03-09,887.76
2022-03-10,889.79
2022-03-11,886.92
2022-03-14,876.07
2022-03-15,886.71
2022-03-16,891.91
2022-03-17,883.41
2022-03-18,888.09
2022-03-21,886.93
2022-03-22,880.86
2022-03-23,874.55
2022-03-24,874.16
2022-03-25,868.18
2022-03-28,863.52
2022-03-29,856.19
2022-03-30,860.96
2022-03-31,878.04
2022-04-01,873.69
2022-04-04,864.54
2022-04-05,854.53
2022-04-06,854.46
2022-04-07,865.08
2022-04-08,879.28
2022-04-11,885.47
2022-04-12,891.35
2022-04-13,873.37
2022-04-14,875.81
2022-04-18,882.12
2022-04-19,881.81
2022-04-20,882.52
2022-04-21,885.73
2022-04-22,886.37
2022-04-25,900.45
2022-04-26,911.85
2022-04-27,901.77
2022-04-28,894.96
2022-04-29,900.05
2022-05-02,899.06
2022-05-03,903.46
2022-05-04,901.26
2022-05-05,905.42
2022-05-06,907.0
